,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,1200,44,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '0', '8', '7', '14', '14', '14', '0', '10', '9', '12', '11', '0', '10', '0', '6', '3', '2', '7', '9', '7', '6', '9', '7', '6', '5', '0']",779.609375
1,optimistic,1400,21,"['11', '11', '11', '11', '0', '0', '0', '7', '7', '0', '9', '0', '7', '7', '7', '0', '0', '0', '0']",208.296875
