,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,0,51,"['43', '42', '43', '42', '41', '0', '38', '40', '0', '40', '41', '38', '38', '0', '0', '0', '31', '29', '30', '30', '54', '27', '0', '0', '22', '22', '23', '21', '0', '8', '0', '5', '7', '9', '8', '6', '9', '8', '7', '6', '5']",2101.125
0,optimistic,400,61,"['52', '53', '0', '50', '51', '48', '50', '50', '51', '48', '48', '0', '0', '67', '0', '35', '52', '52', '52', '0', '46', '45', '44', '44', '44', '44', '0', '47', '44', '0', '43', '46', '0', '46', '44', '0', '0', '22', '21', '21', '22', '0', '0', '5', '7', '9', '7', '6', '5']",3197.8125
0,optimistic,600,79,"['34', '33', '34', '33', '32', '0', '29', '31', '0', '27', '27', '35', '0', '40', '0', '39', '39', '38', '38', '39', '39', '41', '39', '0', '0', '50', '0', '0', '0', '32', '31', '30', '30', '0', '9', '9', '9', '9', '0', '8', '6', '9', '7', '10', '9', '8', '6', '9', '7', '7', '9', '7', '6', '9', '8', '6', '9', '7', '8', '6', '9', '8', '6', '9', '7', '10', '9', '7', '6', '5']",2384.0625
0,optimistic,800,33,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '27', '27', '26', '0', '46', '0', '64', '8', '9', '7', '6', '9', '7', '7', '6', '5']",1072.734375
0,optimistic,1000,79,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '12', '0', '25', '7', '7', '9', '7', '6', '9', '8', '9', '7', '9', '7', '7', '6', '9', '7', '8', '7', '12', '8', '6', '9', '8', '7', '6', '9', '7', '12', '7', '9', '7', '9', '7', '9', '7', '9', '7', '6', '9', '8', '6', '9', '7', '8', '6', '9', '8', '6', '9', '7', '10', '9', '7', '6', '5']",1284.5
0,optimistic,1200,48,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '0', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0', '4', '0', '2', '7', '9', '7', '8', '9', '7', '9', '7', '6', '5']",848.15625
0,optimistic,1400,45,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '0', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0', '2', '7', '9', '7', '6', '9', '7', '6', '5']",833.984375
0,optimistic,1600,35,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '0', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0']",755.84375
0,optimistic,1800,35,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '0', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0']",727.109375
0,optimistic,2000,35,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '0', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0']",734.296875
0,optimistic,2200,35,"['15', '14', '15', '14', '13', '0', '10', '12', '0', '8', '8', '7', '0', '9', '0', '7', '6', '6', '6', '6', '6', '6', '6', '7', '6', '0']",723.046875
