,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,0,56,"['46', '47', '0', '44', '45', '42', '44', '42', '0', '44', '0', '42', '44', '44', '42', '0', '0', '39', '0', '50', '49', '48', '49', '49', '0', '0', '69', '66', '0', '0', '70', '0', '70', '0', '9', '7', '6', '9', '7', '8', '7', '7', '8', '7', '6', '9', '7', '6', '5']",6303.609375
1,optimistic,200,38,"['45', '44', '0', '43', '42', '0', '41', '72', '0', '0', '37', '0', '86', '0', '85', '85', '0', '51', '0', '52', '54', '52', '52', '53', '30', '9', '9', '9', '0', '9', '6', '5']",3500.484375
