,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,400,60,"['91', '70', '90', '70', '90', '0', '69', '70', '67', '86', '69', '0', '0', '45', '73', '48', '46', '68', '48', '68', '48', '0', '46', '0', '45', '0', '44', '44', '0', '52', '51', '52', '53', '53', '0', '53', '0', '53', '54', '52', '53', '53', '56', '53', '0', '26', '0', '0', '8', '8', '0', '6', '5', '0']",6343.84375
0,optimistic,800,40,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '7', '7', '13', '13', '13', '0', '10', '10', '0', '0', '9', '7', '0', '7', '6', '7', '0', '0', '0', '0']",1943.71875
0,optimistic,1000,40,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '7', '7', '14', '14', '14', '0', '10', '10', '0', '0', '9', '7', '0', '7', '6', '7', '0', '0', '0', '0']",1599.484375
0,optimistic,1200,40,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '7', '7', '14', '14', '14', '0', '10', '10', '0', '0', '9', '7', '0', '7', '6', '7', '0', '0', '0', '0']",860.8125
1,optimistic,1400,26,"['12', '11', '11', '11', '11', '0', '9', '8', '0', '8', '17', '17', '8', '5', '6', '9', '7', '7', '6', '5', '0']",345.1875
0,optimistic,1600,40,"['15', '13', '14', '13', '14', '0', '12', '13', '10', '10', '12', '0', '0', '7', '7', '14', '14', '14', '0', '10', '10', '0', '0', '9', '7', '0', '7', '6', '7', '0', '0', '0', '0']",918.546875
