,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,0,56,"['42', '43', '0', '40', '41', '38', '40', '38', '0', '40', '0', '38', '40', '40', '38', '0', '0', '36', '0', '31', '30', '29', '30', '30', '0', '0', '64', '64', '0', '0', '68', '0', '36', '0', '9', '7', '6', '9', '7', '8', '7', '7', '8', '7', '6', '9', '7', '6', '5']",2086.09375
0,optimistic,200,73,"['42', '43', '0', '40', '41', '38', '40', '40', '41', '38', '38', '0', '0', '40', '0', '37', '37', '0', '30', '28', '29', '29', '0', '46', '44', '0', '0', '22', '21', '22', '21', '21', '0', '8', '8', '8', '8', '0', '5', '7', '9', '8', '7', '6', '9', '7', '6', '9', '8', '9', '10', '9', '7', '7', '9', '7', '9', '7', '8', '9', '7', '6', '5']",2394.703125
0,optimistic,400,61,"['52', '53', '0', '50', '51', '48', '50', '50', '51', '48', '48', '0', '0', '67', '0', '35', '52', '52', '52', '0', '46', '45', '44', '44', '44', '44', '0', '47', '44', '0', '43', '46', '0', '46', '44', '0', '0', '22', '21', '21', '22', '0', '0', '5', '7', '9', '7', '6', '5']",3197.8125
0,optimistic,600,54,"['33', '34', '0', '31', '32', '29', '31', '31', '32', '29', '29', '0', '0', '26', '52', '52', '52', '52', '52', '0', '46', '45', '44', '36', '31', '0', '0', '9', '10', '7', '8', '9', '7', '9', '7', '9', '7', '7', '7', '7', '7', '6', '5']",2143.046875
0,optimistic,800,76,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '26', '52', '52', '52', '52', '52', '0', '46', '45', '44', '47', '45', '46', '46', '45', '45', '46', '44', '0', '0', '23', '0', '6', '6', '6', '6', '6', '6', '6', '5', '7', '9', '7', '6', '9', '8', '9', '10', '9', '7', '7', '9', '7', '9', '7', '8', '9', '7', '6', '5']",2585.703125
0,optimistic,1000,62,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '14', '14', '14', '14', '14', '0', '12', '11', '10', '25', '6', '6', '6', '6', '5', '6', '7', '9', '7', '10', '9', '8', '9', '10', '9', '10', '9', '7', '8', '7', '6', '9', '7', '6', '5']",1223.234375
0,optimistic,1200,47,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '15', '15', '15', '15', '15', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0', '4', '4', '0', '0']",1080.421875
0,optimistic,1400,49,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '15', '15', '15', '15', '15', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0', '2', '7', '5']",1079.078125
0,optimistic,1600,45,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '15', '15', '15', '15', '15', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0']",1106.046875
0,optimistic,1800,45,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '15', '15', '15', '15', '15', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0']",1103.359375
0,optimistic,2000,45,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '15', '15', '15', '15', '15', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0']",1068.578125
0,optimistic,2200,45,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '15', '15', '15', '15', '15', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0']",968.34375
