,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,400,39,"['327', '399', '246', '182', '0', '164', '153', '0', '143', '72', '0', '50', '69', '0', '18', '18', '8', '7', '0', '19', '20', '0', '0', '13', '0', '0', '7', '8', '10', '0', '0']",14064.090303329
0,optimistic,800,22,"['45', '28', '31', '40', '0', '22', '28', '25', '21', '25', '28', '0', '0', '8', '0', '0', '0', '15']",1950.171875
0,optimistic,1000,96,"['45', '28', '31', '40', '0', '22', '25', '25', '21', '25', '25', '0', '0', '8', '0', '0', '2', '19', '29', '15', '21', '6', '29', '15', '21', '41', '13', '10', '43', '23', '21', '9', '17', '34', '29', '6', '45', '41', '23', '8', '8', '5', '19', '29', '15', '14', '29', '23', '21', '15', '14', '7', '29', '14', '7', '29', '15', '21', '41', '13', '7', '29', '14', '33', '11', '14', '16', '6', '29', '14', '16', '41', '13', '16', '41', '13', '9', '31', '6', '20', '15', '8', '18', '6', '20', '22', '6', '5']",5507.265625
0,optimistic,1200,22,"['45', '28', '31', '40', '0', '22', '25', '25', '21', '25', '25', '0', '0', '8', '0', '0']",2083.65625
0,optimistic,1400,22,"['45', '28', '31', '40', '0', '22', '25', '25', '21', '25', '25', '0', '0', '8', '0', '0']",1885.484375
0,optimistic,1600,22,"['45', '28', '31', '40', '0', '22', '25', '25', '21', '25', '25', '0', '0', '8', '0', '0']",2030.71875
0,optimistic,1800,22,"['45', '28', '31', '40', '0', '22', '25', '25', '21', '25', '25', '0', '0', '8', '0', '0']",1971.546875
0,optimistic,2000,22,"['45', '28', '31', '40', '0', '22', '25', '25', '21', '25', '25', '0', '0', '8', '0', '0']",1947.40625
0,optimistic,2200,22,"['45', '28', '31', '40', '0', '22', '25', '25', '21', '25', '25', '0', '0', '8', '0', '0']",1849.90625
