,Player type,amount at start,number of turns,list of expanded per turn,time took to finish
0,optimistic,0,100,"['46', '47', '0', '44', '45', '42', '44', '42', '0', '44', '0', '42', '44', '44', '42', '0', '0', '39', '0', '50', '49', '48', '49', '49', '49', '49', '49', '49', '49', '49', '54', '46', '69', '0', '36', '51', '0', '52', '0', '52', '0', '54', '52', '53', '49', '30', '9', '0', '9', '9', '10', '8', '10', '10', '8', '9', '6', '9', '7', '6', '9', '7', '7', '6', '9', '8', '7', '6', '9', '7', '7', '12', '9', '9', '12', '7', '9', '9', '6', '6', '5', '7', '5']",9239.5
0,optimistic,200,67,"['80', '81', '0', '78', '79', '76', '78', '78', '79', '76', '76', '0', '0', '73', '35', '0', '0', '49', '0', '52', '54', '0', '26', '23', '25', '26', '25', '25', '0', '8', '0', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '5', '6', '6', '7', '9', '7', '9', '9', '6', '5', '7', '9', '8', '10', '7', '6', '5']",5444.59375
0,optimistic,400,46,"['71', '91', '0', '88', '89', '86', '88', '88', '89', '86', '86', '0', '0', '105', '0', '66', '0', '45', '0', '44', '43', '0', '0', '49', '51', '49', '48', '50', '0', '0', '25', '25', '0', '8', '8', '8', '8', '0', '5', '2', '0']",5931.546875
0,optimistic,600,67,"['71', '91', '0', '69', '89', '86', '69', '69', '70', '67', '86', '0', '0', '26', '25', '25', '25', '44', '44', '0', '67', '67', '66', '64', '9', '9', '6', '6', '5', '7', '9', '7', '9', '6', '6', '6', '6', '6', '6', '6', '6', '6', '5', '7', '9', '7', '6', '9', '8', '10', '10', '9', '6', '5']",5445.265625
0,optimistic,800,46,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '26', '25', '25', '25', '25', '16', '0', '9', '8', '7', '11', '9', '10', '10', '9', '9', '10', '9', '0', '0', '4', '0', '0']",2364.890625
0,optimistic,1000,54,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '13', '13', '13', '13', '13', '0', '12', '11', '10', '44', '6', '6', '6', '6', '5', '2', '7', '9', '7', '9', '7', '6', '9', '7', '8', '7', '6', '5']",2113.9375
0,optimistic,1200,47,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '16', '16', '16', '16', '16', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0', '4', '4', '0', '0']",2046.796875
0,optimistic,1400,49,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '16', '16', '16', '16', '16', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0', '2', '7', '5']",2320.140625
0,optimistic,1600,45,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '16', '16', '16', '16', '16', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0']",2190.90625
0,optimistic,1800,45,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '16', '16', '16', '16', '16', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0']",2142.5
0,optimistic,2000,45,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '16', '16', '16', '16', '16', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0']",2094.484375
0,optimistic,2200,45,"['14', '15', '0', '12', '13', '10', '12', '12', '13', '10', '10', '0', '0', '7', '16', '16', '16', '16', '16', '0', '9', '8', '7', '9', '7', '8', '8', '7', '7', '8', '7', '0']",2038.84375
